message,anomaly_score,is_anomaly,rule_based_flag,is_whitelisted,combined_anomaly,confidence_score,explanation
2025-04-27 18:41:35 log_channel(cluster) log [ERR] : OSD 10 failure: unable to recover data from 496,0.004236900247633457,True,True,False,True,0.1426,"This log shows unusual patterns with tokens: 'recover' (uncommon usage), 'from' (uncommon usage), '18' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
2025-04-27 18:40:16 log_channel(network) log [DBG] : heartbeat received from mon.3,1.8067638052343682e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:44:50 log_channel(client) log [INF] : object read completed by client 2162,0.000579447892960161,False,False,True,False,0.0195,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:39:42 log_channel(mon) log [INF] : config update committed,0.0007039065822027624,False,False,True,False,0.0237,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:43:25 log_channel(cluster) log [DBG] : recovery completed on osd.6,2.6076992298840196e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:20 log_channel(cluster) log [DBG] : OSD 8 backfill completed,0.0009542651823721826,False,False,True,False,0.0321,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:04 log_channel(mds) log [INF] : MDS.3 session with client.2463 established,0.0005560432909987867,False,False,True,False,0.0187,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:10 log_channel(osd) log [CRIT] : full OSD 1 [no_space_left],0.00017799405031837523,True,True,False,True,0.006,"This log shows unusual patterns with tokens: 'left' (uncommon usage), 'space' (uncommon usage), 'no' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
2025-04-27 18:41:19 log_channel(cluster) log [ERR] : OSD 4 failed to recover from 500 after 110s,0.006966085638850927,True,True,False,True,0.2344,"This log shows unusual patterns with tokens: 'recover' (uncommon usage), 'after' (uncommon usage), '110' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
2025-04-27 18:43:02 log_channel(rbd) log [DBG] : RBD snapshot 'snap-117' created for image 'rbd-image-9',0.0002544738817960024,False,False,True,False,0.0086,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:43:35 log_channel(network) log [DBG] : heartbeat received from mon.2,1.4528615110975807e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:39:44 log_channel(cluster) log [DBG] : scrub ok,1.0430805730266002e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:44:09 log_channel(rbd) log [INF] : RBD unmap operation for image 'rbd-image-2' completed successfully,2.0432732981134905e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
